ease5_序号,ease5_行号,ease5_列号,ease5_x,ease5_y,ease5_z,self_序号,self_行号,self_列号,self_x,self_y,self_z,ease5_spl,self_spl,delta_db(self-ease5),match_dist_xyz
117,6,17,2.59,5.65,1.2,117,6,17,2.61,5.66,1.2,92.33,91.834,-0.4959999999999951,0.022360679774997817
118,6,18,2.99,5.65,1.2,118,6,18,3.0,5.66,1.2,92.42999999999999,91.84,-0.5899999999999892,0.014142135623730649
119,6,19,3.39,5.65,1.2,119,6,19,3.42,5.66,1.2,91.63,91.28,-0.3499999999999943,0.03162277660168354
120,6,20,3.8,5.65,1.2,120,6,20,3.81,5.66,1.2,90.13,89.63,-0.5,0.014142135623730963
121,7,1,-3.84,4.39,1.2,121,7,1,-3.85,4.4,1.2,79.33,81.32,1.9899999999999949,0.01414213562373159
122,7,2,-3.44,4.39,1.2,122,7,2,-3.46,4.4,1.2,80.92999999999999,83.38,2.450000000000003,0.022360679774998216
123,7,3,-3.04,4.39,1.2,123,7,3,-3.04,4.4,1.2,83.63,86.28,2.6500000000000057,0.010000000000000675
124,7,4,-2.64,4.39,1.2,124,7,4,-2.65,4.4,1.2,86.33,87.91,1.5799999999999983,0.014142135623731277
125,7,5,-2.24,4.39,1.2,125,7,5,-2.23,4.4,1.2,89.03,90.044,1.0139999999999958,0.01414213562373159
126,7,6,-1.84,4.39,1.2,126,7,6,-1.84,4.4,1.2,91.83,92.33,0.5,0.010000000000000675
127,7,7,-1.44,4.39,1.2,127,7,7,-1.44,4.4,1.2,94.23,93.6,-0.6300000000000097,0.010000000000000675
128,7,8,-1.04,4.39,1.2,128,7,8,-1.03,4.4,1.2,94.73,94.024,-0.7060000000000031,0.014142135623731435
129,7,9,-0.63,4.39,1.2,129,7,9,-0.63,4.4,1.2,93.23,92.7,-0.5300000000000011,0.010000000000000675
130,7,10,-0.23,4.39,1.2,130,7,10,-0.22,4.4,1.2,90.63,90.58,-0.04999999999999716,0.014142135623731435
131,7,11,0.19,4.39,1.2,131,7,11,0.18,4.4,1.2,88.13,88.81,0.6800000000000068,0.014142135623731435
132,7,12,0.59,4.39,1.2,132,7,12,0.59,4.4,1.2,85.83,87.44,1.6099999999999994,0.010000000000000675
133,7,13,0.99,4.39,1.2,133,7,13,0.99,4.4,1.2,85.42999999999999,87.68,2.250000000000014,0.010000000000000675
134,7,14,1.39,4.39,1.2,134,7,14,1.4,4.4,1.2,86.83,88.59,1.7600000000000051,0.014142135623731435
135,7,15,1.79,4.39,1.2,135,7,15,1.8,4.4,1.2,89.33,90.57,1.2399999999999949,0.014142135623731435
136,7,16,2.19,4.39,1.2,136,7,16,2.19,4.4,1.2,92.03,92.65,0.6200000000000045,0.010000000000000675
137,7,17,2.59,4.39,1.2,137,7,17,2.61,4.4,1.2,94.33,93.9,-0.4299999999999926,0.022360679774998216
138,7,18,2.99,4.39,1.2,138,7,18,3.0,4.4,1.2,94.63,93.92,-0.7099999999999937,0.014142135623731277
139,7,19,3.39,4.39,1.2,139,7,19,3.42,4.4,1.2,93.03,92.46,-0.5700000000000074,0.03162277660168382
140,7,20,3.8,4.39,1.2,140,7,20,3.81,4.4,1.2,90.23,90.16,-0.07000000000000739,0.01414213562373159
142,8,2,-3.44,3.13,1.2,142,8,2,-3.46,3.16,1.2,78.23,79.9,1.6700000000000017,0.036055512754640105
143,8,3,-3.04,3.13,1.2,143,8,3,-3.04,3.16,1.2,79.63,82.93,3.3000000000000114,0.03000000000000025
144,8,4,-2.64,3.13,1.2,144,8,4,-2.65,3.16,1.2,80.73,84.44,3.7099999999999937,0.031622776601683965
145,8,5,-2.24,3.13,1.2,145,8,5,-2.23,3.16,1.2,85.53,89.47,3.9399999999999977,0.031622776601684104
146,8,6,-1.84,3.13,1.2,146,8,6,-1.84,3.16,1.2,90.42999999999999,92.43,2.000000000000014,0.03000000000000025
147,8,7,-1.44,3.13,1.2,147,8,7,-1.44,3.16,1.2,95.42999999999999,96.26,0.8300000000000125,0.03000000000000025
148,8,8,-1.04,3.13,1.2,148,8,8,-1.03,3.16,1.2,97.23,96.7,-0.5300000000000011,0.031622776601684034
149,8,9,-0.63,3.13,1.2,149,8,9,-0.63,3.16,1.2,92.92999999999999,92.9,-0.029999999999986926,0.03000000000000025
150,8,10,-0.23,3.13,1.2,150,8,10,-0.22,3.16,1.2,87.73,88.8,1.0699999999999932,0.031622776601684034
151,8,11,0.19,3.13,1.2,151,8,11,0.18,3.16,1.2,83.03,84.72,1.6899999999999977,0.031622776601684034
152,8,12,0.59,3.13,1.2,152,8,12,0.59,3.16,1.2,81.03,82.75,1.7199999999999989,0.03000000000000025
153,8,13,0.99,3.13,1.2,153,8,13,0.99,3.16,1.2,80.92999999999999,83.67,2.740000000000009,0.03000000000000025
154,8,14,1.39,3.13,1.2,154,8,14,1.4,3.16,1.2,81.23,84.83,3.5999999999999943,0.031622776601684034
155,8,15,1.79,3.13,1.2,155,8,15,1.8,3.16,1.2,86.03,90.014,3.9839999999999947,0.031622776601684034
156,8,16,2.19,3.13,1.2,156,8,16,2.19,3.16,1.2,90.83,93.124,2.293999999999997,0.03000000000000025
157,8,17,2.59,3.13,1.2,157,8,17,2.61,3.16,1.2,95.73,96.53,0.7999999999999972,0.036055512754640105
158,8,18,2.99,3.13,1.2,158,8,18,3.0,3.16,1.2,97.03,96.49,-0.5400000000000063,0.031622776601683965
159,8,19,3.39,3.13,1.2,159,8,19,3.42,3.16,1.2,92.42999999999999,92.83,0.4000000000000057,0.04242640687119289
160,8,20,3.8,3.13,1.2,160,8,20,3.81,3.16,1.2,87.13,88.5,1.3700000000000045,0.031622776601684104
161,9,1,-3.84,1.87,1.2,161,9,1,-3.85,1.9,1.2,73.83,76.874,3.043999999999997,0.03162277660168368
162,9,2,-3.44,1.87,1.2,162,9,2,-3.46,1.9,1.2,74.63,80.18,5.550000000000011,0.036055512754639744
163,9,3,-3.04,1.87,1.2,163,9,3,-3.04,1.9,1.2,75.23,78.19,2.9599999999999937,0.029999999999999805
164,9,4,-2.64,1.87,1.2,164,9,4,-2.65,1.9,1.2,73.63,75.8,2.1700000000000017,0.03162277660168354
165,9,5,-2.24,1.87,1.2,165,9,5,-2.23,1.9,1.2,74.92999999999999,79.87,4.940000000000012,0.03162277660168368
166,9,6,-1.84,1.87,1.2,166,9,6,-1.84,1.9,1.2,75.42999999999999,78.4,2.970000000000013,0.029999999999999805
167,9,7,-1.44,1.87,1.2,167,9,7,-1.44,1.9,1.2,80.83,84.92,4.090000000000003,0.029999999999999805
168,9,8,-1.04,1.87,1.2,168,9,8,-1.03,1.9,1.2,85.53,85.1,-0.4300000000000068,0.03162277660168361
170,9,10,-0.23,1.87,1.2,170,9,10,-0.22,1.9,1.2,74.92999999999999,76.04,1.1100000000000136,0.03162277660168361
